"season","c_m","zip3","ILIsum","popstatsum"
"10","C","226","2109","34189"
"10","A","227","263","45639"
"10","C","227","857","15862"
"10","A","228","390","89558"
"10","C","228","1464","31633"
"10","A","229","1221","138382"
"10","C","229","2092","45350"
"10","A","230","514","119779"
"10","C","230","1233","41804"
"10","A","231","879","199326"
"10","C","231","2665","70958"
"10","A","232","1439","292681"
"10","C","232","2511","100931"
"10","A","233","754","143431"
"10","C","233","940","53365"
"10","A","234","1091","319483"
"10","C","234","1196","117574"
"10","A","235","198","137393"
"10","C","235","98","52114"
"10","A","236","830","220105"
"10","C","236","1609","83439"
"10","A","237","175","53496"
"10","C","237","126","21494"
"10","A","238","1418","191014"
"10","C","238","2542","64873"
"10","A","239","466","56568"
"10","C","239","920","18458"
"10","A","240","745","194528"
"10","C","240","649","64779"
"10","A","241","506","124152"
"10","C","241","672","39880"
"10","A","242","1640","105225"
"10","C","242","3049","32907"
"10","A","243","747","81575"
"10","C","243","1248","25829"
"10","A","244","507","75153"
"10","C","244","1394","24790"
"10","A","245","1201","194944"
"10","C","245","3605","69770"
"10","A","246","682","37891"
"10","C","246","2412","11214"
"10","A","247","350","31741"
"10","C","247","859","10682"
"10","A","248","228","21102"
"10","C","248","443","6469"
"10","A","249","505","27043"
"10","C","249","1288","8940"
"10","A","250","369","37057"
"10","C","250","742","12118"
"10","A","251","283","43482"
"10","C","251","714","14031"
"10","A","252","226","31249"
"10","C","252","412","10251"
"10","A","253","456","61138"
"10","C","253","1008","19632"
"10","A","254","783","97747"
"10","C","254","1287","36059"
"10","A","255","1225","76276"
"10","C","255","1683","26147"
"10","A","256","355","27724"
"10","C","256","842","8865"
"10","A","257","708","38763"
"10","C","257","627","12783"
"10","A","258","391","46107"
"10","C","258","815","14579"
"10","A","259","277","26369"
"10","C","259","558","7842"
"10","A","260","164","68447"
"10","C","260","337","22525"
"10","A","261","455","68166"
"10","C","261","710","23021"
"10","A","262","371","43732"
"10","C","262","538","14520"
"10","A","263","472","45994"
"10","C","263","1111","15287"
"10","A","264","322","30376"
"10","C","264","655","9868"
"10","A","265","987","95535"
"10","C","265","1124","31714"
"10","A","266","159","17627"
"10","C","266","214","5327"
"10","A","267","207","27613"
"10","C","267","609","9981"
"10","A","268","226","18435"
"10","C","268","404","6298"
"10","A","270","688","156176"
"10","C","270","1689","56567"
"10","A","271","467","132089"
"10","C","271","812","49348"
"10","A","272","2542","313222"
"10","C","272","5504","114863"
"10","A","273","1450","199449"
"10","C","273","3128","72585"
"10","A","274","1054","167793"
"10","C","274","1874","60429"
"10","A","275","3981","571297"
"10","C","275","8263","215216"
"10","A","276","1642","294019"
"10","C","276","3359","97313"
"10","A","277","374","145330"
"10","C","277","353","50617"
"10","A","278","1044","284179"
"10","C","278","1183","106414"
"10","A","279","618","107476"
"10","C","279","664","37466"
"10","A","280","3089","356923"
"10","C","280","4127","134048"
"10","A","281","2071","313908"
"10","C","281","3471","117447"
"10","A","282","1737","447298"
"10","C","282","2048","162117"
"10","A","283","2025","432339"
"10","C","283","4615","177079"
"10","A","284","1791","244797"
"10","C","284","2234","83589"
"10","A","285","991","255676"
"10","C","285","1892","94880"
"10","A","286","2199","343077"
"10","C","286","6339","119595"
"10","A","287","2202","270027"
"10","C","287","4488","92685"
"10","A","288","292","62230"
"10","C","288","324","19219"
"10","A","289","74","18699"
"10","C","289","100","6105"
"10","A","290","2643","216318"
"10","C","290","5173","81663"
"10","A","291","2151","190178"
"10","C","291","3571","73260"
"10","A","292","1293","184460"
"10","C","292","1638","69001"
"10","A","293","1355","207958"
"10","C","293","1514","76729"
"10","A","294","3090","394612"
"10","C","294","4774","148130"
"10","A","295","2426","331379"
"10","C","295","5362","116606"
"10","A","296","5808","509030"
"10","C","296","8770","186811"
"10","A","297","1416","187651"
"10","C","297","1919","70032"
"10","A","298","586","116279"
"10","C","298","1880","41714"
"10","A","299","414","98064"
"10","C","299","778","39724"
"10","A","300","9152","1306754"
"10","C","300","17984","495510"
"10","A","301","6163","666146"
"10","C","301","10311","268131"
"10","A","302","3697","558139"
"10","C","302","5599","225597"
"10","A","303","2653","617026"
"10","C","303","2424","192468"
"10","A","304","905","120730"
"10","C","304","1207","47542"
"10","A","305","2287","336701"
"10","C","305","5420","130519"
"10","A","306","1518","218143"
"10","C","306","1522","76788"
"10","A","307","1919","193225"
"10","C","307","3217","75069"
"10","A","308","486","96026"
"10","C","308","1201","40410"
"10","A","309","539","105156"
"10","C","309","1101","41937"
"10","A","310","1345","286209"
"10","C","310","2599","106412"
"10","A","312","357","87699"
"10","C","312","437","37036"
"10","A","313","594","113164"
"10","C","313","1566","45014"
"10","A","314","696","120853"
"10","C","314","1201","47871"
"10","A","315","857","173127"
"10","C","315","1465","67763"
"10","A","316","336","99839"
"10","C","316","1109","39221"
"10","A","317","743","202751"
"10","C","317","1678","84206"
"10","A","318","354","41754"
"10","C","318","365","15734"
"10","A","319","839","100630"
"10","C","319","860","42814"
"10","A","320","2358","331368"
"10","C","320","4549","106659"
"10","A","321","2002","283321"
"10","C","321","2466","89992"
"10","A","322","3448","512593"
"10","C","322","5153","193652"
"10","A","323","1055","248983"
"10","C","323","794","79535"
"10","A","324","634","186142"
"10","C","324","1448","60387"
"10","A","325","835","354315"
"10","C","325","1340","127985"
"10","A","326","1910","208387"
"10","C","326","2404","66779"
"10","A","327","4468","509999"
"10","C","327","9692","177519"
"10","A","328","3226","499536"
"10","C","328","5201","174950"
"10","A","329","2097","316996"
"10","C","329","2973","104755"
"10","A","330","4656","864839"
"10","C","330","20537","318374"
"10","A","331","5531","1018248"
"10","C","331","19095","338656"
"10","A","333","2261","433503"
"10","C","333","9640","149191"
"10","A","334","6448","694128"
"10","C","334","15203","242198"
"10","A","335","3274","360558"
"10","C","335","6296","136291"
"10","A","336","3490","416685"
"10","C","336","5300","146372"
