"season","c_m","zip3","ILIsum","popstatsum"
"1","C","605","315","170798"
"1","A","606","448","1533959"
"1","C","606","384","603550"
"1","A","607","20","55908"
"1","C","607","13","16725"
"1","A","608","37","73378"
"1","C","608","24","34673"
"1","A","609","10","82150"
"1","C","609","6","36661"
"1","A","610","184","152055"
"1","C","610","210","62518"
"1","A","612","56","114170"
"1","C","612","49","47025"
"1","A","613","28","76285"
"1","C","613","20","32417"
"1","A","615","7","104192"
"1","C","615","9","42329"
"1","A","617","23","116566"
"1","C","617","44","47827"
"1","A","620","47","162274"
"1","C","620","54","65031"
"1","A","622","45","232150"
"1","C","622","23","98218"
"1","A","624","122","74148"
"1","C","624","188","32152"
"1","A","625","155","98159"
"1","C","625","72","39913"
"1","A","626","197","82369"
"1","C","626","280","34414"
"1","A","627","71","76099"
"1","C","627","40","29304"
"1","A","628","50","110295"
"1","C","628","69","46023"
"1","A","640","278","290177"
"1","C","640","345","118320"
"1","A","641","173","294751"
"1","C","641","383","108003"
"1","A","647","9","56363"
"1","C","647","11","24627"
"1","A","648","71","91895"
"1","C","648","94","39064"
"1","A","650","25","71843"
"1","C","650","21","30015"
"1","A","651","31","36402"
"1","C","651","46","13052"
"1","A","652","70","127919"
"1","C","652","43","52774"
"1","A","660","233","234662"
"1","C","660","170","94191"
"1","A","661","49","78307"
"1","C","661","25","33846"
"1","A","662","115","185045"
"1","C","662","81","62536"
"1","A","665","9","68411"
"1","C","665","10","29446"
"1","A","666","43","84793"
"1","C","666","16","33026"
"1","A","667","85","59783"
"1","C","667","110","25673"
"1","A","670","14","86185"
"1","C","670","11","38181"
"1","A","680","171","89093"
"1","C","680","157","39125"
"1","A","681","48","291738"
"1","C","681","27","114740"
"1","A","683","37","39405"
"1","C","683","79","17188"
"1","A","684","26","34675"
"1","C","684","69","15649"
"1","A","685","41","133512"
"1","C","685","442","48738"
"1","A","686","31","35498"
"1","C","686","36","17251"
"1","A","687","41","65009"
"1","C","687","37","31387"
"1","A","688","49","78157"
"1","C","688","84","36543"
"1","A","689","108","36962"
"1","C","689","80","15826"
"1","A","690","10","12715"
"1","C","690","16","6019"
"1","A","700","127","334382"
"1","C","700","45","136510"
"1","A","701","18","269962"
"1","C","701","12","114617"
"1","A","703","94","141092"
"1","C","703","181","66863"
"1","A","704","201","188602"
"1","C","704","174","87389"
"1","A","705","640","302198"
"1","C","705","902","144863"
"1","A","706","30","129470"
"1","C","706","36","59191"
"1","A","707","91","177434"
"1","C","707","141","79389"
"1","A","708","84","191007"
"1","C","708","72","78359"
"1","A","710","77","93455"
"1","C","710","27","41700"
"1","A","711","271","139597"
"1","C","711","76","62307"
"1","A","712","339","167058"
"1","C","712","233","80858"
"1","A","713","25","104372"
"1","C","713","89","49048"
