"season","c_m","zip3","ILI","popstat"
"1","O","191","483","5111163"
"1","A","193","97","2773438"
"1","C","193","428","1033262"
"1","O","193","357","724261"
"1","A","194","253","4928614"
"1","C","194","235","1709206"
"1","O","194","216","1299073"
"1","A","195","49","791456"
"1","C","195","67","437469"
"1","O","195","62","243751"
"1","A","196","18","383469"
"1","C","196","17","165311"
"1","O","196","13","68612"
"1","A","197","47","1122475"
"1","C","197","237","1094921"
"1","O","197","277","531070"
"1","A","198","16","314273"
"1","C","198","64","398829"
"1","O","198","78","333053"
"1","A","199","124","1954662"
"1","C","199","72","698773"
"1","O","199","82","868173"
"1","A","200","58","2966188"
"1","C","200","41","947471"
"1","O","200","54","742968"
"1","A","201","117","4471250"
"1","C","201","533","2369189"
"1","O","201","526","1163209"
"1","A","206","217","2389599"
"1","C","206","85","900923"
"1","O","206","71","464932"
"1","A","207","375","10565846"
"1","C","207","480","3862130"
"1","O","207","460","2313255"
"1","A","208","90","4164583"
"1","C","208","257","2408988"
"1","O","208","290","1095132"
"1","A","209","34","1184250"
"1","C","209","122","819885"
"1","O","209","190","462873"
"1","A","210","557","7822989"
"1","C","210","394","2504661"
"1","O","210","364","2085081"
"1","A","211","343","4534236"
"1","C","211","465","1654915"
"1","O","211","350","948073"
"1","A","212","565","13453400"
"1","C","212","414","4766995"
"1","O","212","513","5510428"
"1","A","214","127","643974"
"1","C","214","155","267126"
"1","O","214","110","132720"
"1","A","215","132","790659"
"1","C","215","264","390412"
"1","O","215","186","315157"
"1","A","216","129","1070860"
"1","C","216","121","407168"
"1","O","216","70","355039"
"1","A","217","587","4795314"
"1","C","217","508","1682448"
"1","O","217","449","1575809"
"1","A","218","87","1094864"
"1","C","218","398","625784"
"1","O","218","279","471446"
"1","A","219","6","65446"
"1","C","219","26","119234"
"1","O","219","38","76872"
"1","A","220","56","2506185"
"1","C","220","240","1272376"
"1","O","220","235","715905"
"1","A","221","45","2141554"
"1","C","221","173","1449516"
"1","O","221","129","624397"
"1","A","222","14","427091"
"1","C","222","9","67549"
"1","O","222","14","56136"
"1","A","223","18","927711"
"1","C","223","31","320446"
"1","O","223","54","284629"
"1","A","224","27","518208"
"1","C","224","23","212721"
"1","O","224","34","177805"
"1","A","225","49","581677"
"1","C","225","32","233683"
"1","O","225","29","178834"
"1","A","226","172","1198932"
"1","C","226","70","279935"
"1","O","226","73","437727"
"1","A","227","59","304894"
"1","C","227","27","79566"
"1","O","227","17","39429"
"1","A","228","61","737849"
"1","C","228","70","321528"
"1","O","228","44","152843"
"1","A","229","651","2617879"
"1","C","229","423","840124"
"1","O","229","475","1016192"
"1","A","230","113","1190858"
"1","C","230","56","363336"
"1","O","230","43","300723"
"1","A","231","292","2979656"
"1","C","231","314","1229367"
"1","O","231","159","673766"
"1","A","232","511","5528637"
"1","C","232","201","1765136"
"1","O","232","177","1567184"
"1","A","233","72","1591890"
"1","C","233","30","380720"
"1","O","233","41","410287"
"1","A","234","291","5743407"
"1","C","234","437","2202639"
"1","O","234","377","1914349"
"1","A","235","15","427416"
"1","C","235","6","108674"
"1","O","235","8","74270"
"1","A","236","71","2264270"
"1","C","236","145","1279667"
"1","O","236","175","970170"
"1","A","237","19","200592"
"1","C","237","4","29927"
"1","O","237","21","84077"
"1","A","238","328","3108342"
"1","C","238","170","1099165"
"1","O","238","148","917034"
"1","A","239","255","943683"
"1","C","239","149","290477"
"1","O","239","107","370034"
"1","A","240","119","2093400"
"1","C","240","103","895307"
"1","O","240","82","774946"
"1","A","241","229","2108282"
"1","C","241","124","682565"
"1","O","241","140","816260"
"1","A","242","124","1409228"
"1","C","242","136","617549"
"1","O","242","153","519263"
"1","A","243","36","541355"
"1","C","243","158","459888"
"1","O","243","177","313294"
"1","A","244","168","1122138"
"1","C","244","199","480319"
"1","O","244","225","432754"
"1","A","245","372","3634524"
"1","C","245","239","1281543"
"1","O","245","278","1717144"
"1","A","246","52","307159"
"1","C","246","39","112452"
"1","O","246","48","90860"
"1","A","247","9","66447"
"1","C","247","8","32315"
"1","O","247","6","24679"
"1","A","248","5","31189"
"1","C","248","3","9610"
"1","O","248","2","3591"
"1","A","249","51","254025"
"1","C","249","55","82904"
"1","O","249","57","114578"
"1","A","250","17","110187"
"1","C","250","10","30098"
"1","O","250","7","31589"
"1","A","251","9","73573"
"1","C","251","1","5652"
"1","O","251","9","28763"
"1","A","252","23","112054"
"1","C","252","14","48932"
"1","O","252","72","107619"
"1","A","253","27","348416"
"1","C","253","15","80033"
"1","O","253","13","97698"
"1","A","254","40","632579"
"1","C","254","20","152009"
"1","O","254","20","126068"
"1","A","255","30","333301"
"1","C","255","48","204401"
"1","O","255","34","128036"
"1","A","257","13","127985"
"1","C","257","22","57482"
"1","O","257","28","42881"
"1","A","258","21","174090"
"1","C","258","8","46967"
"1","O","258","8","41325"
"1","A","259","24","104351"
"1","C","259","19","43864"
"1","O","259","15","39313"
"1","A","260","9","139735"
"1","C","260","7","62319"
"1","O","260","8","70800"
"1","A","261","71","761953"
"1","C","261","79","311534"
"1","O","261","70","274637"
"1","A","262","35","249757"
"1","C","262","62","217449"
