"season","c_m","zip3","ILI","popstat"
"5","C","258","98","271995"
"5","O","258","126","259529"
"5","A","259","70","343421"
"5","C","259","46","88720"
"5","O","259","76","101130"
"5","A","260","27","392328"
"5","C","260","104","386580"
"5","O","260","108","365336"
"5","A","261","148","1293150"
"5","C","261","62","337847"
"5","O","261","128","471070"
"5","A","262","54","437109"
"5","C","262","72","191672"
"5","O","262","70","193384"
"5","A","263","275","1108085"
"5","C","263","355","492683"
"5","O","263","538","526318"
"5","A","264","192","633938"
"5","C","264","192","261496"
"5","O","264","230","235651"
"5","A","265","359","2503566"
"5","C","265","305","750699"
"5","O","265","533","886894"
"5","A","266","13","61397"
"5","C","266","12","19007"
"5","O","266","22","16211"
"5","A","267","170","478465"
"5","C","267","251","282145"
"5","O","267","250","211362"
"5","A","268","62","170933"
"5","C","268","50","69755"
"5","O","268","56","70145"
"5","A","270","554","4848090"
"5","C","270","604","1708081"
"5","O","270","788","1876269"
"5","A","271","235","3385689"
"5","C","271","73","785048"
"5","O","271","128","936662"
"5","A","272","1532","10112154"
"5","C","272","1986","3765243"
"5","O","272","3037","4573198"
"5","A","273","811","5867659"
"5","C","273","868","2225974"
"5","O","273","1180","2542581"
"5","A","274","226","3462764"
"5","C","274","71","838016"
"5","O","274","172","1077542"
"5","A","275","4018","17527172"
"5","C","275","4462","6484654"
"5","O","275","5679","6268694"
"5","A","276","1347","8548157"
"5","C","276","1462","2784729"
"5","O","276","2020","2292856"
"5","A","277","262","3243072"
"5","C","277","101","757961"
"5","O","277","162","788418"
"5","A","278","1514","9460631"
"5","C","278","679","3555539"
"5","O","278","1072","4043652"
"5","A","279","416","2560510"
"5","C","279","209","889790"
"5","O","279","754","1395342"
"5","A","280","1572","10906913"
"5","C","280","1658","4132907"
"5","O","280","2051","4431329"
"5","A","281","965","9530628"
"5","C","281","1431","3693785"
"5","O","281","1682","3454454"
"5","A","282","1504","13422161"
"5","C","282","1117","4632156"
"5","O","282","1453","3663320"
"5","A","283","2088","14367702"
"5","C","283","3186","5897678"
"5","O","283","4185","6004198"
"5","A","284","2204","7374683"
"5","C","284","1879","2512514"
"5","O","284","2882","3335906"
"5","A","285","1541","7936124"
"5","C","285","1702","3027645"
"5","O","285","2819","3426963"
"5","A","286","1594","11298689"
"5","C","286","3517","4029324"
"5","O","286","3545","4898454"
"5","A","287","1422","8785644"
"5","C","287","1314","3000015"
"5","O","287","1725","4690805"
"5","A","288","390","1690601"
"5","C","288","129","376898"
"5","O","288","323","666737"
"5","A","289","12","55296"
"5","C","289","22","34559"
"5","O","289","51","82059"
"5","A","290","1823","7096572"
"5","C","290","2355","2680961"
"5","O","290","2371","2623907"
"5","A","291","1340","6660938"
"5","C","291","1456","2581080"
"5","O","291","1632","2857685"
"5","A","292","855","5844007"
"5","C","292","1352","2137981"
"5","O","292","1693","1743637"
"5","A","293","1918","6973301"
"5","C","293","2023","2507157"
"5","O","293","2098","2812247"
"5","A","294","2917","12461132"
"5","C","294","2883","4663608"
"5","O","294","3720","4875635"
"5","A","295","2780","10648780"
"5","C","295","4591","3770919"
"5","O","295","5948","4960239"
"5","A","296","4232","16811615"
"5","C","296","5070","6007903"
"5","O","296","4946","7289963"
"5","A","297","1642","5590765"
"5","C","297","1605","2114586"
"5","O","297","1701","2082771"
"5","A","298","455","2925250"
"5","C","298","940","1354969"
"5","O","298","1149","1300860"
"5","A","299","543","2716610"
"5","C","299","794","1173650"
"5","O","299","911","1389771"
"5","A","300","4768","40399507"
"5","C","300","8756","14676049"
"5","O","300","8023","12434134"
"5","A","301","2399","20148104"
"5","C","301","3140","7816125"
"5","O","301","3503","6887424"
"5","A","302","1361","16463293"
"5","C","302","2732","6982510"
"5","O","302","3729","5911456"
"5","A","303","1323","18256084"
"5","C","303","1284","5256513"
"5","O","303","1775","5115793"
"5","A","304","682","3536379"
"5","C","304","712","1503735"
"5","O","304","857","1481926"
"5","A","305","1039","10109273"
"5","C","305","1451","3758200"
"5","O","305","1499","3879101"
"5","A","306","674","5654773"
"5","C","306","1130","2269054"
"5","O","306","1158","1940010"
"5","A","307","1566","6249783"
"5","C","307","1026","2351889"
"5","O","307","1298","2317648"
"5","A","308","107","1399443"
"5","C","308","294","977154"
"5","O","308","248","654151"
"5","A","309","119","1756859"
"5","C","309","341","1252905"
"5","O","309","239","784482"
"5","A","310","1014","9273644"
"5","C","310","2435","3575693"
"5","O","310","2255","3755334"
"5","A","312","243","1999611"
"5","C","312","803","1240196"
"5","O","312","734","940758"
"5","A","313","77","1257674"
"5","C","313","508","1189304"
"5","O","313","561","647921"
"5","A","314","65","1410293"
"5","C","314","148","719847"
"5","O","314","194","716444"
"5","A","315","573","5069138"
"5","C","315","787","2143823"
"5","O","315","1147","1933233"
"5","A","316","139","1835006"
"5","C","316","125","641891"
"5","O","316","154","487074"
"5","A","317","1051","6374896"
"5","C","317","2195","2855852"
"5","O","317","2045","2929606"
"5","A","318","43","353322"
"5","C","318","60","215675"
"5","O","318","84","164704"
"5","A","319","124","1748279"
"5","C","319","70","633150"
"5","O","319","113","717342"
"5","A","320","838","9419325"
"5","C","320","680","3482379"
"5","O","320","1259","3884415"
"5","A","321","711","7939964"
"5","C","321","932","2649342"
"5","O","321","1411","5098899"
"5","A","322","1761","16479055"
"5","C","322","1691","6456563"
"5","O","322","2496","6143052"
"5","A","323","47","2257635"
"5","C","323","209","2005531"
"5","O","323","407","1121220"
"5","A","324","235","4711443"
"5","C","324","699","1983649"
"5","O","324","1003","1837712"
"5","A","325","395","9372533"
"5","C","325","435","4116929"
"5","O","325","644","4156142"
"5","A","326","244","4097690"
"5","C","326","91","980507"
"5","O","326","121","997459"
"5","A","327","1867","16076694"
"5","C","327","3196","6087610"
"5","O","327","3575","7454182"
"5","A","328","2252","15619896"
"5","C","328","1960","5620033"
"5","O","328","2664","5313409"
"5","A","329","1057","9643864"
"5","C","329","1331","3534524"
"5","O","329","1295","6125092"
"5","A","330","2208","28555906"
"5","C","330","10753","11026631"
"5","O","330","13193","13232647"
"5","A","331","2756","33813268"
"5","C","331","7858","12265761"
"5","O","331","10413","15555601"
"5","A","333","1174","14417298"
"5","C","333","6150","5212659"
"5","O","333","6903","6209840"
"5","A","334","2942","22385722"
"5","C","334","8591","8245057"
"5","O","334","12033","15261600"
